time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2026-06-26 11:31:20,-48.5397,-27.6687,1025.6,    5, 13.4, 10.6, 10.6, 83, 83, 7.83,270, 2.1
2026-06-26 11:31:21,-48.5397,-27.6688,1010.4,  132, 14.9,  7.3,  7.3, 60, 60, 6.34,332, 5.0
2026-06-26 11:33:17,-48.5361,-27.6773,1000.0,  219, 15.2,  8.0,  8.0, 62, 62, 6.73,325, 5.7
2026-06-26 11:33:18,-48.5361,-27.6774, 999.4,  223, 15.2,  8.1,  8.1, 62, 62, 6.77,325, 5.7
2026-06-26 11:33:44,-48.5358,-27.6804, 925.0,  875, 12.1,  6.8,  6.8, 70, 70, 6.69,357,11.5
2026-06-26 11:34:58,-48.5349,-27.6886, 924.1,  883, 12.1,  6.7,  6.7, 70, 70, 6.68,357,11.7
2026-06-26 11:35:14,-48.5347,-27.6903, 907.1, 1039, 10.7,  6.5,  6.5, 75, 75, 6.68,354,13.2
2026-06-26 11:35:16,-48.5347,-27.6905, 862.6, 1455,  6.6,  5.7,  5.7, 94, 94, 6.69,354,11.8
2026-06-26 11:35:22,-48.5346,-27.6909, 851.5, 1562,  5.8,  4.6,  4.6, 91, 91, 6.24,351, 8.9
2026-06-26 11:35:25,-48.5345,-27.6910, 850.0, 1576,  6.3,  3.6,  3.6, 83, 83, 5.83,349, 7.9
2026-06-26 11:35:33,-48.5344,-27.6911, 846.2, 1613,  6.0,  3.1,  3.1, 81, 81, 5.65,346, 6.2
2026-06-26 11:35:43,-48.5343,-27.6912, 844.3, 1633,  6.7,  0.2,  0.2, 63, 63, 4.61,344, 5.2
2026-06-26 11:35:48,-48.5343,-27.6913, 839.7, 1677,  9.6, -8.2, -7.3, 28, 28, 2.45,336, 3.1
2026-06-26 11:36:34,-48.5341,-27.6930, 833.5, 1737, 11.4,-21.2,-19.0,  8,  8, 0.85,338, 2.3
2026-06-26 11:37:48,-48.5317,-27.6979, 829.8, 1777, 11.9,-33.9,-30.8,  3,  3, 0.26,345, 2.4
2026-06-26 11:38:13,-48.5302,-27.6997, 803.1, 2046, 10.1,-24.3,-21.9,  7,  7, 0.67,358, 5.3
2026-06-26 11:39:22,-48.5270,-27.7048, 760.7, 2498,  8.0,-33.6,-30.5,  3,  3, 0.30,321, 9.8
2026-06-26 11:39:40,-48.5264,-27.7062, 747.4, 2641,  7.1,-31.9,-28.9,  4,  4, 0.35,326, 9.7
