"Data";"Hora (UTC)";"Temp Ins (C)";"Pressao Ins (hPa)"
"15/01/2025";"0";"24,7";"1012,6"
"15/01/2025";"100";"24,4";"1013,1"
"15/01/2025";"200";"24,4";"1013"
"15/01/2025";"300";"23,1";"1013,2"
"15/01/2025";"400";"22";"1012,8"
"15/01/2025";"500";"21,7";"1012,4"
"15/01/2025";"600";"21,9";"1012,3"
"15/01/2025";"700";"21,8";"1012,5"
"15/01/2025";"800";"21,2";"1012,7"
"15/01/2025";"900";"21,3";"1013,3"
"15/01/2025";"1000";"22";"1013,6"
"15/01/2025";"1100";"24,4";"1013,6"
"15/01/2025";"1200";"25,7";"1013,7"
"15/01/2025";"1300";"26,7";"1013,8"
"15/01/2025";"1400";"26,9";"1013,9"
"15/01/2025";"1500";"27,2";"1013,9"
"15/01/2025";"1600";"27,6";"1013,5"
"15/01/2025";"1700";"27,8";"1013,1"
"15/01/2025";"1800";"28,1";"1012,7"
"15/01/2025";"1900";"27,6";"1012,4"
"15/01/2025";"2000";"27,5";"1012,1"
"15/01/2025";"2100";"27,1";"1012,3"
"15/01/2025";"2200";"26,3";"1012,8"
"15/01/2025";"2300";"25,7";"1013,5"
"16/01/2025";"0";"25,7";"1014"
"16/01/2025";"100";"25,6";"1014,6"
"16/01/2025";"200";"25,1";"1014,9"
"16/01/2025";"300";"25,3";"1014,7"
"16/01/2025";"400";"24,4";"1014,4"
"16/01/2025";"500";"24,1";"1014"
"16/01/2025";"600";"23,5";"1013,9"
"16/01/2025";"700";"23";"1013,6"
"16/01/2025";"800";"22,8";"1013,8"
"16/01/2025";"900";"22,8";"1014,3"
"16/01/2025";"1000";"22,6";"1014,5"
"16/01/2025";"1100";"22,5";"1015"
"16/01/2025";"1200";"23,1";"1015,4"
"16/01/2025";"1300";"23,3";"1015,4"
"16/01/2025";"1400";"23,9";"1015,3"
"16/01/2025";"1500";"24,2";"1015,4"
"16/01/2025";"1600";"24,1";"1014,8"
"16/01/2025";"1700";"24,1";"1014,4"
"16/01/2025";"1800";"23,4";"1013,3"
"16/01/2025";"1900";"23,2";"1013,5"
"16/01/2025";"2000";"23,3";"1013,2"
"16/01/2025";"2100";"23,3";"1013,1"
"16/01/2025";"2200";"23,8";"1013,6"
"16/01/2025";"2300";"24";"1013,7"
"17/01/2025";"0";"23,8";"1014,3"
"17/01/2025";"100";"23,9";"1014,7"
"17/01/2025";"200";"23,5";"1015,2"
"17/01/2025";"300";"22,8";"1015"
"17/01/2025";"400";"22,5";"1015,1"
"17/01/2025";"500";"22,7";"1014,5"
"17/01/2025";"600";"22,7";"1013,3"
"17/01/2025";"700";"22,7";"1012,5"
"17/01/2025";"800";"22,8";"1012,3"
"17/01/2025";"900";"23,4";"1012,2"
"17/01/2025";"1000";"23,4";"1012,5"
"17/01/2025";"1100";"23,8";"1012,4"
"17/01/2025";"1200";"24,2";"1012,2"
"17/01/2025";"1300";"24";"1012,3"
"17/01/2025";"1400";"25,6";"1011,6"
"17/01/2025";"1500";"26,4";"1011,4"
"17/01/2025";"1600";"26,5";"1010,9"
"17/01/2025";"1700";"27,5";"1009,9"
"17/01/2025";"1800";"27";"1009,9"
"17/01/2025";"1900";"26,7";"1009,5"
"17/01/2025";"2000";"26,7";"1009,2"
"17/01/2025";"2100";"26,4";"1008,9"
"17/01/2025";"2200";"26,2";"1009,5"
"17/01/2025";"2300";"26";"1010,2"
